date,rank,name,lp,url
Sat Oct  3 02:00:00 EDT 2020,1,C9 k3soju,1064,https://www.leagueofgraphs.com/tft/summoner/na/C9+k3soju
Sat Oct  3 02:00:00 EDT 2020,2,TSM KitingisHard,1040,https://www.leagueofgraphs.com/tft/summoner/na/TSM+KitingisHard
Sat Oct  3 02:00:00 EDT 2020,3,Nostereleven,864,https://www.leagueofgraphs.com/tft/summoner/na/Nostereleven
Sat Oct  3 02:00:00 EDT 2020,4,Kiyoon,827,https://www.leagueofgraphs.com/tft/summoner/na/Kiyoon
Sat Oct  3 02:00:00 EDT 2020,5,Mean Mister Kien,820,https://www.leagueofgraphs.com/tft/summoner/na/Mean+Mister+Kien
Sat Oct  3 02:00:00 EDT 2020,6,AYAYAMETE,807,https://www.leagueofgraphs.com/tft/summoner/na/AYAYAMETE
Sat Oct  3 02:00:00 EDT 2020,7,DQA TFT,769,https://www.leagueofgraphs.com/tft/summoner/na/DQA+TFT
Sat Oct  3 02:00:00 EDT 2020,8,DeliciousMilkGG,767,https://www.leagueofgraphs.com/tft/summoner/na/DeliciousMilkGG
Sat Oct  3 02:00:00 EDT 2020,9,Treebeard TwTv,734,https://www.leagueofgraphs.com/tft/summoner/na/Treebeard+TwTv
Sat Oct  3 02:00:00 EDT 2020,10,kevyzhou,722,https://www.leagueofgraphs.com/tft/summoner/na/kevyzhou
Sat Oct  3 02:00:00 EDT 2020,11,Agon,717,https://www.leagueofgraphs.com/tft/summoner/na/Agon
Sat Oct  3 02:00:00 EDT 2020,12,Moggy Mako,665,https://www.leagueofgraphs.com/tft/summoner/na/Moggy+Mako
Sat Oct  3 02:00:00 EDT 2020,13,TheshyuzimyGod,643,https://www.leagueofgraphs.com/tft/summoner/na/TheshyuzimyGod
Sat Oct  3 02:00:00 EDT 2020,14,Mismatched Socks,613,https://www.leagueofgraphs.com/tft/summoner/na/Mismatched+Socks
Sat Oct  3 02:00:00 EDT 2020,15,RU CHAMPION,583,https://www.leagueofgraphs.com/tft/summoner/na/RU+CHAMPION
Sat Oct  3 02:00:00 EDT 2020,16,jasonjava,579,https://www.leagueofgraphs.com/tft/summoner/na/jasonjava
